PrizeName,PrizeCode,PrizeDesc,Prizeunit,Inventory
PrizeItem1,12111,Prize offer desc Created,1,50
PrizeItem2,12111,Prize offer desc Created,2,3
PrizeItem3,12111,Prize offer desc Created,3,4
PrizeItem4,12111,Prize offer desc Created,2,3
PrizeItem5,12111,Prize offer desc Created,3,4
PrizeItem6,12111,Prize offer desc Created,2,3
PrizeItem7,12111,Prize offer desc Created,3,4
PrizeItem8,12111,Prize offer desc Created,2,3
PrizeItem9,12111,Prize offer desc Created,3,4
PrizeItem10,12111,Prize offer desc Created,3,4

