acct,email,tier
807879790,,Star
807879791,,Icon
807879535,,XCard
807879573,,Legend
950000933,,Legend
807879758,,Star
807879835,,Icon
950000932,,XCard
807879760,,Legend
807879760,,Star
807879763,,Icon
950000933,,Xcard
807879796,,Legend
807879592,,Star
807879742,,Icon
807879487,,Xcard
807651719,,Star
807879587,,Legend
807879576,,Icon
807879520,,Xcard
807879818,,Star
807881372,,Icon
807879748,,Legend
200144531,,Xcard
807879585,,Star
807879724,,Icon
807879787,,Legend
807879603,,Xcard
950001041,,Star
807879581,,Legend
